,subject,predicate,object,rtype,operations,support_sentence
95,LaReine,hasTopping,PizzaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['Each slice is generously adorned with ham, mozzarella, mushrooms, olives, and tomatoes, ensuring that every bite offers a perfect balance of textures and tastes.']"
96,LeekTopping,hasIngredient,VegetableTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': ['TomatoTopping'], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['(LeekTopping is derived from a flavorful green vegetable, indicating that it is a type of VegetableTopping which inherently requires the presence of a Vegetable as an ingredient.)']"
97,Margherita,hasBase,PizzaBase,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf'], 'negative': True}",['The base is typically a simple yet satisfying pizza crust that allows the rich flavors of the toppings to shine.']
98,Margherita,hasTopping,MozzarellaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This delightful pizza is a classic choice, featuring a harmonious blend of two essential toppings: creamy mozzarella and tangy tomato.']"
99,Margherita,hasTopping,TomatoTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': ['VegetableTopping'], 'specialize': [], 'prop_variant': [], 'negative': True}","['This delightful pizza is a classic choice, featuring a harmonious blend of two essential toppings: creamy mozzarella and tangy tomato.']"
100,MeatTopping,hasIngredient,MeatTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['These toppings not only add protein but also create a satisfying, rich taste experience.']"
101,MeatTopping,hasSpiciness,Spiciness,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['From savory pepperoni and spicy sausage to tender chicken and crispy bacon, these toppings can vary in spiciness.']"
102,MeatTopping,hasTopping,PizzaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This category includes a variety of delicious toppings made from different types of meat, enhancing the flavor and heartiness of any pizza.']"
103,Mild,hasBase,PizzaBase,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf'], 'negative': True}",['(These pizzas provide a delightful balance that appeals to a wide audience.)']
104,Mild,hasSpiciness,Mild,only,"{'remove': True, 'variant_rtype': ['some', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['(This category refers to a flavor profile that is gentle and not overpowering, making it an ideal choice for those who prefer a more subdued taste experience.)']"
105,Mild,hasTopping,PizzaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['(Pizzas in this range are characterized by their subtle heat, allowing the other ingredients to shine without the distraction of intense spiciness.)']"
106,MixedSeafoodTopping,hasSpiciness,Mild,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['Typically mild in spiciness, it combines ingredients like shrimp, squid, and other fish, creating a savory and satisfying addition that seafood lovers will adore.']"
107,MixedSeafoodTopping,isToppingOf,NamedPizza,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isIngredientOf'], 'negative': True}","['Perfect for those who appreciate the taste of the sea, this topping adds a unique twist to traditional pizza options.']"
108,MozzarellaTopping,hasSpiciness,Mild,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}",['known for its creamy texture and mild flavor that perfectly complements a variety of ingredients.']
109,MozzarellaTopping,hasTopping,CheeseTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This delightful topping is a staple in many pizzas, known for its creamy texture and mild flavor that perfectly complements a variety of ingredients.']"
110,Mushroom,hasBase,PizzaBase,exactly 1,"{'remove': True, 'variant_rtype': ['some', 'only'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf'], 'negative': True}","['Each bite offers a harmonious combination of these ingredients, all sitting atop a classic pizza base that provides the perfect foundation.']"
111,Mushroom,hasIngredient,MozzarellaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['This delicious creation is a type of pizza that features a delightful blend of toppings, including the rich creaminess of mozzarella.']"
112,Mushroom,hasTopping,MushroomTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This delicious creation is a type of pizza that features a delightful blend of toppings, including the rich creaminess of mozzarella, the earthy flavor of mushrooms, and the tangy freshness of tomatoes.']"
113,Mushroom,hasTopping,TomatoTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': ['VegetableTopping'], 'specialize': [], 'prop_variant': [], 'negative': True}","['This delicious creation is a type of pizza that features a delightful blend of toppings, including the rich creaminess of mozzarella, the earthy flavor of mushrooms, and the tangy freshness of tomatoes.']"
114,MushroomTopping,hasIngredient,Mushroom,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['Known for its mild taste, it pairs beautifully with a variety of cheeses and sauces, making it a popular choice among pizza lovers who prefer a gentler flavor.']"
115,MushroomTopping,hasSpiciness,Mild,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This topping is known for its mild taste, which adds both texture and a hint of umami to each bite.']"
116,MushroomTopping,isToppingOf,NamedPizza,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isIngredientOf'], 'negative': True}","['MushroomTopping is a delightful addition to any pizza, offering a subtle earthiness that enhances the overall flavor profile without overwhelming the palate.']"
117,NamedPizza,hasBase,PizzaBase,exactly 1,"{'remove': True, 'variant_rtype': ['some', 'only'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf'], 'negative': True}",['it must be built on a foundation of a pizza base.']
118,NamedPizza,hasTopping,PizzaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['Typically, these pizzas are crafted with a unique combination of ingredients and flavors that reflect their identity.']"
119,Napoletana,hasBase,PizzaBase,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf'], 'negative': True}","['The base is a classic pizza crust, which serves as the perfect foundation for these ingredients.']"
120,Napoletana,hasTopping,AnchoviesTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This delightful pizza variety hails from Italy and is characterized by its distinct combination of toppings, which must include anchovies...']"
121,Napoletana,hasTopping,CaperTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This delightful pizza variety hails from Italy and is characterized by its distinct combination of toppings, which must include capers...']"
122,Napoletana,hasTopping,MozzarellaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This delightful pizza variety hails from Italy and is characterized by its distinct combination of toppings, which must include mozzarella...']"
123,Napoletana,hasTopping,OliveTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This delightful pizza variety hails from Italy and is characterized by its distinct combination of toppings, which must include olives...']"
124,Napoletana,hasTopping,TomatoTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': ['VegetableTopping'], 'specialize': [], 'prop_variant': [], 'negative': True}","['This delightful pizza variety hails from Italy and is characterized by its distinct combination of toppings, which must include tomatoes...']"
125,NutTopping,hasSpiciness,Mild,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['With a mild spiciness, it enhances the overall taste without overwhelming the palate.']"
126,NutTopping,hasTopping,NutTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This type of topping adds a delightful crunch and rich flavor to your pizza, typically consisting of various nuts.']"
127,NutTopping,isToppingOf,Pizza,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isIngredientOf'], 'negative': True}",['This topping offers a unique texture and taste that can elevate any pizza experience.']
128,OliveTopping,hasIngredient,OliveTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['Often enjoyed for its unique texture and earthy notes, it serves as a perfect addition to enhance the overall experience of a slice.']"
129,OliveTopping,hasSpiciness,Mild,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}",['This delightful topping brings a rich and savory flavor to any pizza... a mild taste that complements other ingredients without overpowering them.']
130,OliveTopping,hasTopping,VegetableTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': ['TomatoTopping'], 'prop_variant': [], 'negative': True}",['OliveTopping... is a favorite among those who appreciate the subtle nuances of pizza toppings.']
131,OliveTopping,isToppingOf,NamedPizza,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isIngredientOf'], 'negative': True}","['This delightful topping brings a rich and savory flavor to any pizza, offering a mild taste that complements other ingredients without overpowering them.']"
132,OnionTopping,hasSpiciness,Medium,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['Known for its medium level of spiciness, it enhances the overall experience without overwhelming the palate.']"
133,OnionTopping,isIngredientOf,PizzaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isToppingOf'], 'negative': True}","['This delightful topping adds a burst of flavor to any pizza, bringing a slightly sweet and savory taste that complements a variety of ingredients.']"
134,OnionTopping,isToppingOf,NamedPizza,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isIngredientOf'], 'negative': True}",['Its versatility makes it a popular choice among pizza lovers who appreciate a bit of crunch and zest in every bite.']
135,ParmaHamTopping,hasIngredient,HamTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['(ParmaHamTopping is a type of HamTopping, which indicates that it is made from high-quality ham, as described in the class description.)']"
136,ParmaHamTopping,hasSpiciness,Mild,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['(The delicate flavor and tender texture of ParmaHamTopping suggest a mild taste, aligning with the spiciness classification in the property list.)']"
137,ParmaHamTopping,hasTopping,PizzaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['(ParmaHamTopping is a topping that is often enjoyed on pizzas, complementing a variety of other ingredients without overpowering them, as mentioned in the class description.)']"
138,ParmaHamTopping,isToppingOf,NamedPizza,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isIngredientOf'], 'negative': True}","['(ParmaHamTopping is a favorite topping among those who appreciate fine flavors on pizzas, indicating its relationship with NamedPizza types.)']"
139,Parmense,hasBase,PizzaBase,exactly 1,"{'remove': True, 'variant_rtype': ['some', 'only'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf'], 'negative': True}","['The base is a classic pizza crust, providing the perfect foundation for this delicious combination.']"
140,Parmense,hasIngredient,CheeseTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['This delightful pizza variety is characterized by a harmonious blend of toppings, featuring tender asparagus, savory ham, creamy mozzarella, rich Parmesan, and fresh tomatoes.']"
141,Parmense,hasTopping,MeatTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This delightful pizza variety is characterized by a harmonious blend of toppings, featuring tender asparagus, savory ham, creamy mozzarella, rich Parmesan, and fresh tomatoes.']"
142,Parmense,hasTopping,VegetableTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': ['TomatoTopping'], 'prop_variant': [], 'negative': True}","['This delightful pizza variety is characterized by a harmonious blend of toppings, featuring tender asparagus, savory ham, creamy mozzarella, rich Parmesan, and fresh tomatoes.']"
143,ParmesanTopping,isToppingOf,NamedPizza,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isIngredientOf'], 'negative': True}","['ParmesanTopping is a type of PizzaTopping that enhances the overall taste of various pizzas, including classic and adventurous varieties, indicating that it is used as a topping for NamedPizza.']"
144,PeperonataTopping,hasSpiciness,Medium,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This delightful topping is a flavorful mix of peppers, bringing a medium level of spiciness to your pizza.']"
145,PeperonataTopping,hasTopping,PepperTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['Known for its vibrant colors and zesty taste, it adds a burst of freshness and a hint of heat, making it a popular choice for those who enjoy a bit of kick in their meal.']"
146,PeperonataTopping,isToppingOf,NamedPizza,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isIngredientOf'], 'negative': True}","['Whether paired with other ingredients or enjoyed on its own, it enhances the overall flavor profile of the dish.']"
147,PeperoniSausageTopping,hasSpiciness,Medium,exactly 1,"{'remove': True, 'variant_rtype': ['some', 'only'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}",['This delicious topping is made from spiced and seasoned sausage... adds a medium level of spiciness to pizzas.']
148,PeperoniSausageTopping,isToppingOf,NamedPizza,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isIngredientOf'], 'negative': True}","['It adds a medium level of spiciness to pizzas, making each bite a tasty experience.']"
149,PepperTopping,hasSpiciness,Spiciness,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['When sliced and scattered across the cheesy surface, it brings a satisfying crunch and a hint of sweetness, elevating the overall taste experience.']"
150,PepperTopping,hasTopping,VegetableTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': ['TomatoTopping'], 'prop_variant': [], 'negative': True}",['This delicious topping is made from a vibrant vegetable that adds both flavor and a pop of color to any pizza.']
151,PepperTopping,isToppingOf,NamedPizza,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isIngredientOf'], 'negative': True}","['Perfect for those who enjoy a fresh, garden-like essence in their meal, this topping is a favorite among pizza lovers seeking a balance of texture and taste.']"
152,PetitPoisTopping,hasTopping,VegetableTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': ['TomatoTopping'], 'prop_variant': [], 'negative': True}","['Often used as a topping, these little gems add a touch of sweetness and a pop of color, making your pizza not only tastier but also visually appealing.']"
153,PineKernels,hasCountryOfOrigin,Food,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['Often considered a gourmet choice, it is made from small seeds that come from pine cones.']"
154,PineKernels,hasTopping,NutTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This delightful topping adds a unique crunch and a rich, nutty flavor to your pizza.']"
155,PineKernels,isIngredientOf,PizzaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isToppingOf'], 'negative': True}","['Whether sprinkled on top of a classic margherita or mixed into a more adventurous combination, these toppings elevate the overall experience without overpowering the other flavors.']"
156,Pizza,hasBase,PizzaBase,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf'], 'negative': True}","['(The foundation of this culinary creation is essential, as it determines the texture and flavor profile, making the choice of base a crucial aspect of crafting the perfect bite.)']"
157,Pizza,hasCountryOfOrigin,DomainConcept,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['(This delightful dish is a beloved staple in many cultures, typically consisting of a flat, round base that is baked until golden and crispy.)']"
158,Pizza,hasTopping,PizzaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['(It serves as a canvas for a variety of toppings, including savory sauces, rich cheeses, and an array of meats, vegetables, and herbs.)']"
159,PizzaBase,hasCountryOfOrigin,DomainConcept,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This category refers to the foundational element of a pizza, which serves as the canvas for all the delicious toppings and sauces that follow.']"
160,PizzaBase,hasIngredient,Food,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['It typically consists of a dough that is baked to create a crisp yet chewy texture, providing the perfect platform for a variety of flavors.']"
161,PizzaBase,hasSpiciness,Spiciness,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}",['This essential component plays a crucial role in defining the overall pizza experience.']
162,PizzaBase,hasTopping,PizzaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This category refers to the foundational element of a pizza, which serves as the canvas for all the delicious toppings and sauces that follow.']"
163,PizzaBase,isBaseOf,NamedPizza,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasBase', 'hasIngredient', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['This category refers to the foundational element of a pizza, which serves as the canvas for all the delicious toppings and sauces that follow.']"
164,PizzaTopping,hasTopping,CheeseTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}",['This category encompasses various ingredients that enhance the flavor and texture of a pizza.']
165,PizzaTopping,hasTopping,FishTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}",['These delightful additions can range from classic options like pepperoni and mushrooms to more adventurous toppings such as arugula or goat cheese.']
166,PizzaTopping,hasTopping,HerbSpiceTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}",['These ingredients play a crucial role in defining the overall character of the dish.']
167,PizzaTopping,hasTopping,MeatTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}",['These delightful additions can range from classic options like pepperoni and mushrooms to more adventurous toppings such as arugula or goat cheese.']
168,PizzaTopping,hasTopping,VegetableTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': ['TomatoTopping'], 'prop_variant': [], 'negative': True}","['Each topping contributes its unique taste, allowing for endless combinations to satisfy different palates.']"
169,PolloAdAstra,hasBase,PizzaBase,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf'], 'negative': True}","['The crust is built on a classic pizza base, making it a satisfying choice for those who appreciate bold tastes and hearty toppings.']"
170,PolloAdAstra,hasIngredient,CajunSpiceTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}",['a blend of spices that give it a distinctive Cajun kick.']
171,PolloAdAstra,hasSpiciness,Medium,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}",['a blend of spices that give it a distinctive Cajun kick.']
172,PolloAdAstra,hasTopping,ChickenTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}",['featuring tender chicken and a blend of spices that give it a distinctive Cajun kick.']
173,PolloAdAstra,hasTopping,GarlicTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['Topped with fresh garlic, creamy mozzarella, and vibrant red onions.']"
174,PolloAdAstra,hasTopping,SweetPepperTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['it also includes sweet peppers and juicy tomatoes, creating a colorful and appetizing dish.']"
175,PolloAdAstra,hasTopping,TomatoTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': ['VegetableTopping'], 'specialize': [], 'prop_variant': [], 'negative': True}","['it also includes sweet peppers and juicy tomatoes, creating a colorful and appetizing dish.']"
176,PrawnsTopping,hasIngredient,PrawnsTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['This topping brings the delightful taste of the ocean to your pizza, featuring tender and succulent prawns that enhance the overall flavor profile.']"
177,PrawnsTopping,hasSpiciness,Mild,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['With a mild spiciness, it complements a variety of ingredients without overwhelming them, making it a popular choice for those looking to elevate their pizza experience with a touch of seafood.']"
178,PrawnsTopping,hasTopping,FishTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['PrawnsTopping is a type of FishTopping, which includes various seafood toppings for pizzas.']"
179,PrinceCarlo,hasBase,PizzaBase,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf'], 'negative': True}","['The base is crafted to provide the perfect foundation for these ingredients, ensuring that every slice is as satisfying as it is delicious.']"
180,PrinceCarlo,hasTopping,CheeseTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}",['This delightful pizza features a harmonious blend of toppings that include creamy mozzarella and rich Parmesan.']
181,PrinceCarlo,hasTopping,HerbSpiceTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}",['This delightful pizza features a harmonious blend of toppings that include fragrant rosemary.']
182,PrinceCarlo,hasTopping,VegetableTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': ['TomatoTopping'], 'prop_variant': [], 'negative': True}","['This delightful pizza features a harmonious blend of toppings that include savory leeks, creamy mozzarella, rich Parmesan, fragrant rosemary, and fresh tomatoes.']"
183,QuattroFormaggi,hasBase,PizzaBase,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf'], 'negative': True}","[""It's crafted on a traditional pizza base, ensuring that each bite is both satisfying and delicious.""]"
184,QuattroFormaggi,hasTopping,CheeseTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This delightful pizza is a celebration of cheese, featuring a rich blend of four distinct varieties that create a creamy and indulgent experience.']"
185,QuattroFormaggi,hasTopping,TomatoTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': ['VegetableTopping'], 'specialize': [], 'prop_variant': [], 'negative': True}","['Complemented by a classic tomato base, this pizza offers a perfect balance of flavors and textures.']"
186,RedOnionTopping,hasIngredient,OnionTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['Its vibrant color not only makes the pizza visually appealing but also brings a fresh, aromatic quality that pairs well with a variety of other ingredients.']"
187,RedOnionTopping,hasSpiciness,Medium,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['With a medium level of spiciness, it enhances the overall taste experience without overwhelming the palate.']"
188,RedOnionTopping,hasTopping,VegetableTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': ['TomatoTopping'], 'prop_variant': [], 'negative': True}","['This topping adds a delightful crunch and a slightly sweet, tangy flavor to pizzas, making it a popular choice for those who enjoy a bit of zest.']"
189,RedOnionTopping,isToppingOf,NamedPizza,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isIngredientOf'], 'negative': True}","['This topping adds a delightful crunch and a slightly sweet, tangy flavor to pizzas, making it a popular choice for those who enjoy a bit of zest.']"
190,RocketTopping,hasSpiciness,Medium,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This topping adds a unique flavor to pizzas, bringing a medium level of spiciness that enhances the overall taste.']"
